"","Avg_Accuracy","Avg_TPR0","Avg_TPR1","Kappa"
"Linear_SVM",0.651485714285714,0.675642857142857,0.626528571428571,0.302385714285714
"Gaussian_SVM",0.663642857142857,0.697128571428571,0.629042857142857,0.326514285714286
"Polinomial_SVM",0.5258,0.974042857142857,0.0631714285714286,0.0377142857142857
"Decision_Tree",0.620171428571429,0.596057142857143,0.645057142857143,0.240871428571429
"Boosting",0.647657142857143,0.631071428571429,0.664757142857143,0.295685714285714
